文件,地点id(b228),序号(b229),子网格,列数(5cd85),行数(5cd86),数组条数(=2×行),每数组长度(=2×列),首址,步长,独立值数,取值集合
$1$MPINIT.txt,2,a,0,b,f,30,22,0x5bd46,0x41,4,0 1 2 d
$1$MPINIT.txt,11,1,0,7,7,14,14,0x5bd46,0x41,3,0 1 2
$1$MPINIT.txt,11,2,0,9,9,18,18,0x5bd46,0x41,3,0 1 2
$1$MPINIT.txt,11,3,0,9,9,18,18,0x5bd46,0x41,3,0 1 2
$1$MPINIT.txt,11,4,0,9,9,18,18,0x5bd46,0x41,3,0 1 2
$1$MPINIT.txt,11,5,0,9,9,18,18,0x5bd46,0x41,3,0 1 2
$1$MPINIT.txt,11,6,0,b,d,26,22,0x5bd46,0x41,6,0 1 2 3 d e
$1$MPINIT.txt,12,1,0,16,15,42,44,0x5bd46,0x41,4,0 1 2 d
$1$MPINIT.txt,12,2,0,17,c,24,46,0x5bd46,0x41,8,0 1 2 3 5 d e 23
$2$MPINIT.txt,a,2,0,13,14,40,38,0x5bd46,0x41,9,0 1 2 3 d e 22 23 24
$2$MPINIT.txt,13,5,0,18,f,30,48,0x5bd46,0x41,6,0 1 2 a b d
$2$MPINIT.txt,13,6,0,12,14,40,36,0x5bd46,0x41,11,0 1 2 3 a d e 10 12 1b 23
$2$MPINIT.txt,13,7,0,14,14,40,40,0x5bd46,0x41,5,0 1 2 d 1b
$2$MPINIT.txt,13,8,0,13,14,40,38,0x5bd46,0x41,4,0 1 2 d
$2$MPINIT.txt,50,2,0,10,e,28,32,0x5bd46,0x41,6,0 1 2 3 d e
$3$MPINIT.txt,2,b,0,d,12,36,26,0x5bd46,0x41,6,0 1 2 c d f
$3$MPINIT.txt,2,c,0,f,13,38,30,0x5bd46,0x41,6,0 1 2 a b d
$3$MPINIT.txt,2,d,0,11,11,34,34,0x5bd46,0x41,3,0 1 2
$3$MPINIT.txt,1d,1,0,15,f,30,42,0x5bd46,0x41,5,0 1 2 d 12
$3$MPINIT.txt,1d,2,0,19,19,50,50,0x5bd46,0x41,6,0 1 2 4 8 23
$3$MPINIT.txt,1d,3,0,14,12,36,40,0x5bd46,0x41,8,0 1 2 d f 10 11 19
