地图号,地图名,点序号,列,行,类型,跟随1,跟随2,跟随3
14,転移鏡神殿 转移镜神殿,0,1,f,5(刷怪旋涡),6,6,
14,転移鏡神殿 转移镜神殿,1,b,f,5(刷怪旋涡),6,6,
14,転移鏡神殿 转移镜神殿,2,a,3,20(挖掘点),3c,7,
14,転移鏡神殿 转移镜神殿,3,b,3,20(挖掘点),3c,6,
14,転移鏡神殿 转移镜神殿,4,2,7,1f(采集点),3c,6,
14,転移鏡神殿 转移镜神殿,5,1,b,1f(采集点),3c,6,
14,転移鏡神殿 转移镜神殿,6,3,e,1c,1e,,
14,転移鏡神殿 转移镜神殿,7,9,a,1c,1e,,
14,転移鏡神殿 转移镜神殿,8,5,1,1c,1e,,
14,転移鏡神殿 转移镜神殿,9,6,1,1c,1e,,
14,転移鏡神殿 转移镜神殿,10,7,1,1c,1e,,
14,転移鏡神殿 转移镜神殿,11,2,4,7,b02,1,
14,転移鏡神殿 转移镜神殿,12,6,3,f(治愈点),,,
141,へタレスの迷宮１Ｆ 赫塔雷斯迷宫１Ｆ,0,7,1,8(宝物堆),5,,
141,へタレスの迷宮１Ｆ 赫塔雷斯迷宫１Ｆ,1,7,3,8(宝物堆),cb,f,
141,へタレスの迷宮１Ｆ 赫塔雷斯迷宫１Ｆ,2,6,2,7,411,2,
141,へタレスの迷宮１Ｆ 赫塔雷斯迷宫１Ｆ,3,2,6,1c,18,,
141,へタレスの迷宮１Ｆ 赫塔雷斯迷宫１Ｆ,4,1,5,1c,18,,
141,へタレスの迷宮１Ｆ 赫塔雷斯迷宫１Ｆ,5,1,7,1c,18,,
141,へタレスの迷宮１Ｆ 赫塔雷斯迷宫１Ｆ,6,3,5,1c,18,,
141,へタレスの迷宮１Ｆ 赫塔雷斯迷宫１Ｆ,7,3,7,1c,18,,
141,へタレスの迷宮１Ｆ 赫塔雷斯迷宫１Ｆ,8,4,2,b,,,
141,へタレスの迷宮１Ｆ 赫塔雷斯迷宫１Ｆ,9,1,6,7,b24,2,
141,へタレスの迷宮１Ｆ 赫塔雷斯迷宫１Ｆ,10,6,1,20(挖掘点),36,9,
141,へタレスの迷宮１Ｆ 赫塔雷斯迷宫１Ｆ,11,7,2,1f(采集点),36,9,
142,へタレスの迷宮２Ｆ 赫塔雷斯迷宫２Ｆ,0,4,2,8(宝物堆),a,,
142,へタレスの迷宮２Ｆ 赫塔雷斯迷宫２Ｆ,1,6,1,8(宝物堆),d1,a,
142,へタレスの迷宮２Ｆ 赫塔雷斯迷宫２Ｆ,2,6,2,8(宝物堆),12d,5,
142,へタレスの迷宮２Ｆ 赫塔雷斯迷宫２Ｆ,3,5,1,7,411,1,
142,へタレスの迷宮２Ｆ 赫塔雷斯迷宫２Ｆ,4,1,4,1c,19,,
142,へタレスの迷宮２Ｆ 赫塔雷斯迷宫２Ｆ,5,2,4,1c,19,,
142,へタレスの迷宮２Ｆ 赫塔雷斯迷宫２Ｆ,6,1,5,1c,19,,
142,へタレスの迷宮２Ｆ 赫塔雷斯迷宫２Ｆ,7,1,6,1c,19,,
142,へタレスの迷宮２Ｆ 赫塔雷斯迷宫２Ｆ,8,2,6,1c,19,,
142,へタレスの迷宮２Ｆ 赫塔雷斯迷宫２Ｆ,9,5,2,7,b24,1,
142,へタレスの迷宮２Ｆ 赫塔雷斯迷宫２Ｆ,10,6,9,20(挖掘点),37,9,
142,へタレスの迷宮２Ｆ 赫塔雷斯迷宫２Ｆ,11,4,9,1f(采集点),37,9,
143,へタレスの迷宮３Ｆ 赫塔雷斯迷宫３Ｆ,0,2,4,8(宝物堆),5,,
143,へタレスの迷宮３Ｆ 赫塔雷斯迷宫３Ｆ,1,1,6,8(宝物堆),d1,f,
143,へタレスの迷宮３Ｆ 赫塔雷斯迷宫３Ｆ,2,2,6,8(宝物堆),cf,f,
143,へタレスの迷宮３Ｆ 赫塔雷斯迷宫３Ｆ,3,1,5,7,411,1,
143,へタレスの迷宮３Ｆ 赫塔雷斯迷宫３Ｆ,4,8,4,1c,1a,,
143,へタレスの迷宮３Ｆ 赫塔雷斯迷宫３Ｆ,5,9,4,1c,1a,,
143,へタレスの迷宮３Ｆ 赫塔雷斯迷宫３Ｆ,6,9,5,1c,1a,,
143,へタレスの迷宮３Ｆ 赫塔雷斯迷宫３Ｆ,7,8,6,1c,1a,,
143,へタレスの迷宮３Ｆ 赫塔雷斯迷宫３Ｆ,8,9,6,1c,1a,,
143,へタレスの迷宮３Ｆ 赫塔雷斯迷宫３Ｆ,9,2,5,7,b24,1,
143,へタレスの迷宮３Ｆ 赫塔雷斯迷宫３Ｆ,10,6,1,20(挖掘点),38,9,
143,へタレスの迷宮３Ｆ 赫塔雷斯迷宫３Ｆ,11,4,1,1f(采集点),38,9,
144,へタレスの迷宮４Ｆ 赫塔雷斯迷宫４Ｆ,0,9,4,8(宝物堆),5,,
144,へタレスの迷宮４Ｆ 赫塔雷斯迷宫４Ｆ,1,8,6,8(宝物堆),cd,a,
144,へタレスの迷宮４Ｆ 赫塔雷斯迷宫４Ｆ,2,9,6,8(宝物堆),d0,a,
144,へタレスの迷宮４Ｆ 赫塔雷斯迷宫４Ｆ,3,9,5,7,411,1,
144,へタレスの迷宮４Ｆ 赫塔雷斯迷宫４Ｆ,4,4,8,1c,1b,,
144,へタレスの迷宮４Ｆ 赫塔雷斯迷宫４Ｆ,5,6,8,1c,1b,,
144,へタレスの迷宮４Ｆ 赫塔雷斯迷宫４Ｆ,6,4,9,1c,1b,,
144,へタレスの迷宮４Ｆ 赫塔雷斯迷宫４Ｆ,7,5,9,1c,1b,,
144,へタレスの迷宮４Ｆ 赫塔雷斯迷宫４Ｆ,8,6,9,1c,1b,,
144,へタレスの迷宮４Ｆ 赫塔雷斯迷宫４Ｆ,9,8,5,7,b24,1,
144,へタレスの迷宮４Ｆ 赫塔雷斯迷宫４Ｆ,10,1,6,20(挖掘点),39,9,
144,へタレスの迷宮４Ｆ 赫塔雷斯迷宫４Ｆ,11,1,4,1f(采集点),39,9,
145,へタレスの迷宮５Ｆ 赫塔雷斯迷宫５Ｆ,0,4,9,8(宝物堆),5,,
145,へタレスの迷宮５Ｆ 赫塔雷斯迷宫５Ｆ,1,6,8,8(宝物堆),ce,5,
145,へタレスの迷宮５Ｆ 赫塔雷斯迷宫５Ｆ,2,6,9,8(宝物堆),131,5,
145,へタレスの迷宮５Ｆ 赫塔雷斯迷宫５Ｆ,3,5,9,7,411,1,
145,へタレスの迷宮５Ｆ 赫塔雷斯迷宫５Ｆ,4,4,1,1c,1c,,
145,へタレスの迷宮５Ｆ 赫塔雷斯迷宫５Ｆ,5,5,1,1c,1c,,
145,へタレスの迷宮５Ｆ 赫塔雷斯迷宫５Ｆ,6,6,1,1c,1c,,
145,へタレスの迷宮５Ｆ 赫塔雷斯迷宫５Ｆ,7,4,2,1c,1c,,
145,へタレスの迷宮５Ｆ 赫塔雷斯迷宫５Ｆ,8,6,2,1c,1c,,
145,へタレスの迷宮５Ｆ 赫塔雷斯迷宫５Ｆ,9,5,8,7,b24,1,
145,へタレスの迷宮５Ｆ 赫塔雷斯迷宫５Ｆ,10,9,6,20(挖掘点),3a,9,
145,へタレスの迷宮５Ｆ 赫塔雷斯迷宫５Ｆ,11,9,4,1f(采集点),3a,9,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,0,2,c,8(宝物堆),a,,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,1,2,d,8(宝物堆),d2,f,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,2,3,b,8(宝物堆),132,3,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,3,3,c,8(宝物堆),d3,3,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,4,3,d,8(宝物堆),ce,a,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,5,4,b,8(宝物堆),d4,5,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,6,4,c,8(宝物堆),142,1,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,7,4,d,8(宝物堆),d0,f,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,8,3,1,7,119,3,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,9,6,1,7,11a,3,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,10,9,1,7,11b,3,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,11,3,5,7,11e,3,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,12,9,5,7,121,3,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,13,8,b,1c,1d,,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,14,8,c,1c,1d,,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,15,8,d,1c,1d,,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,16,9,b,1c,1d,,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,17,9,c,1c,1d,,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,18,9,d,1c,1d,,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,19,a,b,1c,1d,,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,20,a,c,1c,1d,,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,21,a,d,1c,1d,,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,22,1,3,6,1,c,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,23,b,3,6,b,c,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,24,5,c,6,5,9,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,25,7,c,6,7,9,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,26,3,2,e,,,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,27,3,4,d,,,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,28,9,2,c,,,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,29,9,4,b,,,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,30,6,6,b,,,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,31,4,3,22,,,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,32,6,2,22,,,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,33,8,3,22,,,
146,へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,34,1,9,20(挖掘点),3b,9,
