地点名称,单位名称,前部-0x1E 可否刷怪(1可刷/2出击/空固定),前部-0x3C 未知-3C,前部-0x5A 未知-5A,前部-0x78 结构-78,前部-0x96 阵营(2普通红/3友方/4敌方),前部-0xB4 未知-B4,前部-0xD2 坐标行(1-based),前部-0xF0 坐标列(1-based),后部+0x1E 等级下限,后部+0x3C 等级上限(+10),后部+0x5A 未知+5A
転移鏡神殿 转移镜神殿,盗獅子覚醒の凄い奴 盗狮子觉醒的厉害家伙,,1,4,7,2,,2,6,2e,38,1
転移鏡神殿 转移镜神殿,センタルア・イブ 森塔尔亚·伊布,1,,,7,2,4,f,1,2d,37,1
転移鏡神殿 转移镜神殿,センタルア・イブ 森塔尔亚·伊布,,,,7,2,,5,b,2d,37,1
転移鏡神殿 转移镜神殿,掘削の彫像 掘削的雕像,1,,,7,2,5,f,b,2d,37,1
転移鏡神殿 转移镜神殿,掘削の彫像 掘削的雕像,,,,7,2,,c,a,2d,37,1
転移鏡神殿 转移镜神殿,剛像ヴァルガルム 刚像瓦尔加尔姆,,,,7,2,,3,1,2d,37,1
転移鏡神殿 转移镜神殿,転がる大岩 滚动的大岩,,,,7,2,,6,5,2d,37,1
転移鏡神殿 转移镜神殿,転がる大岩 滚动的大岩,,,,7,2,,a,7,2d,37,1
へタレスの迷宮１Ｆ 赫塔雷斯迷宫１Ｆ,ヘタテット 赫塔泰特,,,,7,,,5,5,3,d,1
へタレスの迷宮１Ｆ 赫塔雷斯迷宫１Ｆ,ヘタテット 赫塔泰特,,,,7,,,7,5,3,d,1
へタレスの迷宮１Ｆ 赫塔雷斯迷宫１Ｆ,ヘタテット 赫塔泰特,,,,7,,,6,6,3,d,1
へタレスの迷宮１Ｆ 赫塔雷斯迷宫１Ｆ,ヘタテット 赫塔泰特,,,,7,,,5,7,3,d,1
へタレスの迷宮１Ｆ 赫塔雷斯迷宫１Ｆ,ヘタテット 赫塔泰特,,,,7,,,7,7,3,d,1
へタレスの迷宮２Ｆ 赫塔雷斯迷宫２Ｆ,ヘタテット 赫塔泰特,,,,7,,,4,8,a,14,1
へタレスの迷宮２Ｆ 赫塔雷斯迷宫２Ｆ,ヘタテット 赫塔泰特,,,,7,,,4,9,a,14,1
へタレスの迷宮２Ｆ 赫塔雷斯迷宫２Ｆ,ヘタテット 赫塔泰特,,,,7,,,5,9,a,14,1
へタレスの迷宮２Ｆ 赫塔雷斯迷宫２Ｆ,ヘタテット 赫塔泰特,,,,7,,,6,8,a,14,1
へタレスの迷宮２Ｆ 赫塔雷斯迷宫２Ｆ,ヘタテット 赫塔泰特,,,,7,,,6,9,a,14,1
へタレスの迷宮３Ｆ 赫塔雷斯迷宫３Ｆ,ヘタボウ 赫塔宝,,,,7,,,8,4,c,16,1
へタレスの迷宮３Ｆ 赫塔雷斯迷宫３Ｆ,ヘタボウ 赫塔宝,,,,7,,,8,6,c,16,1
へタレスの迷宮３Ｆ 赫塔雷斯迷宫３Ｆ,ヘタボウ 赫塔宝,,,,7,,,9,4,c,16,1
へタレスの迷宮３Ｆ 赫塔雷斯迷宫３Ｆ,ヘタボウ 赫塔宝,,,,7,,,9,5,c,16,1
へタレスの迷宮３Ｆ 赫塔雷斯迷宫３Ｆ,ヘタボウ 赫塔宝,,,,7,,,9,6,c,16,1
へタレスの迷宮４Ｆ 赫塔雷斯迷宫４Ｆ,ヘタボウ 赫塔宝,,,,7,,,1,4,12,1c,1
へタレスの迷宮４Ｆ 赫塔雷斯迷宫４Ｆ,ヘタボウ 赫塔宝,,,,7,,,1,5,12,1c,1
へタレスの迷宮４Ｆ 赫塔雷斯迷宫４Ｆ,ヘタボウ 赫塔宝,,,,7,,,1,6,12,1c,1
へタレスの迷宮４Ｆ 赫塔雷斯迷宫４Ｆ,ヘタボウ 赫塔宝,,,,7,,,2,4,12,1c,1
へタレスの迷宮４Ｆ 赫塔雷斯迷宫４Ｆ,ヘタボウ 赫塔宝,,,,7,,,2,6,12,1c,1
へタレスの迷宮５Ｆ 赫塔雷斯迷宫５Ｆ,ヘタレン 赫塔连,,,,7,,,4,1,14,1e,1
へタレスの迷宮５Ｆ 赫塔雷斯迷宫５Ｆ,ヘタレン 赫塔连,,,,7,,,5,1,14,1e,1
へタレスの迷宮５Ｆ 赫塔雷斯迷宫５Ｆ,ヘタレン 赫塔连,,,,7,,,6,1,14,1e,1
へタレスの迷宮５Ｆ 赫塔雷斯迷宫５Ｆ,ヘタレン 赫塔连,,,,7,,,4,2,14,1e,1
へタレスの迷宮５Ｆ 赫塔雷斯迷宫５Ｆ,ヘタレン 赫塔连,,,,7,,,6,2,14,1e,1
へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,キングプテテット 史莱姆王,,1,4,7,2,,4,6,1b,25,1
へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,ヘタレン 赫塔连,,,,7,,,7,9,1a,24,1
へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,ヘタレン 赫塔连,,,,7,,,7,b,1a,24,1
へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,ヘタレン 赫塔连,,,,7,,,8,a,1a,24,1
へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,ヘタレン 赫塔连,,,,7,,,9,9,1a,24,1
へタレスの迷宮６Ｆ 赫塔雷斯迷宫６Ｆ,ヘタレン 赫塔连,,,,7,,,9,b,1a,24,1
異界断層 异界断层,歪みの精霊王女 扭曲的精灵王女,,,2,7,2,,2,14,30,3a,1
異界断層 异界断层,歪侍女,,,2,7,2,,3,12,2f,39,1
異界断層 异界断层,歪侍女,,,2,7,2,,4,12,2f,39,1
異界断層 异界断层,歪侍女,,,2,7,2,,5,12,2f,39,1
異界断層 异界断层,歪侍女,,,2,7,2,,3,16,2f,39,1
異界断層 异界断层,歪侍女,,,2,7,2,,4,16,2f,39,1
異界断層 异界断层,歪侍女,,,2,7,2,,5,16,2f,39,1
異界断層 异界断层,歪侍女,,,1,7,2,,3,13,2f,39,1
異界断層 异界断层,歪侍女,,,1,7,2,,3,15,2f,39,1
異界断層 异界断层,彷徨える歪魚 彷徨的歪鱼,,,,7,2,,3,6,2f,39,1
異界断層 异界断层,彷徨える歪魚 彷徨的歪鱼,,,,7,2,,8,3,2f,39,1
異界断層 异界断层,彷徨える歪魚 彷徨的歪鱼,,,,7,2,,d,b,2f,39,1
異界断層 异界断层,彷徨える歪魚 彷徨的歪鱼,,,,7,2,,11,b,2f,39,1
