单位id,单位名,种族值,种族,性别值,性别,属性值,属性,星级,单位名地址
1,アヴァロ 阿瓦罗,2,亜人,1,男,2,地脉,1,17ab7
2,フィア 菲亚,f,特殊,2,女,6,神圣,4,17ab8
3,イオル 伊欧露,2,亜人,2,女,5,电击,2,17ab9
4,ミケユ 米凯优,2,亜人,2,女,3,冷却,1,17aba
5,キスニル 姬斯尼尔,1,人族,2,女,4,火炎,3,17abb
6,ディートヘルム 迪特赫鲁姆,1,人族,1,男,7,暗黑,2,17abc
7,ロズリーヌ 罗兹利奴,1,人族,2,女,7,暗黑,2,17abd
8,リシュエンツェーリ 莉秀恩兹利,1,人族,2,女,2,地脉,3,17abe
9,ミクシュアナ 米克修亚娜,7,天使,2,女,4,火炎,3,17abf
a,カトリト 卡特利特,a,幻獣,2,女,5,电击,2,17ac0
b,思春期カトリト 青春期卡特利特,a,幻獣,2,女,5,电击,3,17ac1
c,成竜型カトリト 成龙型卡特利特,a,幻獣,2,女,5,电击,4,17ac2
14,エウシュリーちゃん Eushully酱,f,特殊,2,女,6,神圣,4,17aca
15,リリィ 莉莉,8,悪魔,2,女,7,暗黑,1,17acb
16,ヴァレフォル 瓦雷弗尔,e,魔神,2,女,7,暗黑,5,17acc
17,べリアル 贝莉阿尔,e,魔神,2,女,4,火炎,5,17acd
18,フォルネウス 弗尔奈沃斯,e,魔神,2,女,3,冷却,5,17ace
19,ユエラ 由艾拉,1,人族,2,女,1,物理,4,17acf
1a,フィア＝イブラム 菲亚-伊布拉姆,6,精霊,2,女,7,暗黑,4,17ad0
32,流燐結騎 流燐结骑,6,精霊,1,男,3,冷却,4,17ae8
33,溶燐結騎 溶燐结骑,6,精霊,1,男,4,火炎,3,17ae9
34,嵐燐結騎 岚燐结骑,6,精霊,2,女,5,电击,2,17aea
35,華燐結騎 华燐结骑,6,精霊,1,男,2,地脉,1,17aeb
37,霊虚二舞イ人ノ傀 灵虚双舞之人傀,b,霊体,1,男,7,暗黑,2,17aed
38,愛ヲ模リ咲ヒメル傀 仿爱绽放之人傀,b,霊体,2,女,7,暗黑,2,17aee
5f,ミクシュアナ 米克修亚娜,7,天使,2,女,4,火炎,3,17b15
60,ユエラ 由艾拉,1,人族,2,女,1,物理,4,17b16
61,フィア 菲亚,f,特殊,2,女,6,神圣,4,17b17
62,アヴァロ 阿瓦罗,2,亜人,1,男,2,地脉,1,17b18
73,若い娘 年轻姑娘,1,人族,2,女,1,物理,1,17b29
7d,体格の良い男 体格健壮的男人,1,人族,1,男,1,物理,1,17b33
8c,女騎士キスニル 女骑士姬斯尼尔,1,人族,2,女,4,火炎,3,17b42
8d,女騎士キスニル 女骑士姬斯尼尔,1,人族,2,女,4,火炎,3,17b43
8e,操霊師ロズリーヌ 操灵师罗兹利奴,1,人族,2,女,7,暗黑,2,17b44
8f,リシュエンツェーリ 莉秀恩兹利,1,人族,2,女,2,地脉,3,17b45
90,操霊師ロズリーヌ 操灵师罗兹利奴,1,人族,2,女,7,暗黑,2,17b46
91,女騎士キスニル 女骑士姬斯尼尔,1,人族,2,女,4,火炎,3,17b47
96,ギルシュ第三王子 吉尔什第三王子,1,人族,1,男,1,物理,4,17b4c
97,ギルシュ第三王子 吉尔什第三王子,1,人族,1,男,1,物理,4,17b4d
98,絶怨ノ皇子 绝怨之皇子,c,不死,1,男,7,暗黑,4,17b4e
99,ファーブル将帥 法布尔将帅,1,人族,2,女,1,物理,4,17b4f
9b,インフルース騎士 因夫鲁斯骑士,1,人族,1,男,1,物理,1,17b51
9c,虎顎騎士団 虎颚骑士团,1,人族,1,男,1,物理,2,17b52
9d,獅峰騎士団 狮峰骑士团,1,人族,1,男,1,物理,3,17b53
a0,街道警備兵 街道警备兵,1,人族,1,男,1,物理,1,17b56
a2,重聖堂騎士 重圣堂骑士,1,人族,1,男,1,物理,3,17b58
a7,魔シキ封錬ノ匠 魔式封炼之匠,c,不死,3,无性别,7,暗黑,4,17b5d
a8,魔シキ封錬ノ礎 魔式封炼之基石,c,不死,3,无性别,7,暗黑,4,17b5e
a9,絶怨ノ術師 绝怨之术师,c,不死,1,男,7,暗黑,4,17b5f
aa,呪封師ガイダル 咒封师盖达鲁,1,人族,1,男,7,暗黑,4,17b60
ab,城砦管理者ガイダル 城砦管理者盖达鲁,1,人族,1,男,7,暗黑,4,17b61
ac,封錬後継者ガイダル 封炼后继者盖达鲁,1,人族,1,男,7,暗黑,4,17b62
