# T-0103 段 2/3/4 · mesh 0x19258（白晕/黑幕共用同一个 handle）的逐帧 α —— 证明淡入淡出在模型上是**逐帧平滑**的

来源：record 轨迹 `.tmp/flash/t0103-switch.jsonl.gz`（scenario `tools/scenarios/t0103-save78.json`：载入槽 078 → 点一下推进 → 录到切章结束）。
只列 **α 变化点**（同值连续帧折叠）；rgb 一列用来区分「白晕」(ffffff) 与「黑幕」(000000)。

| 帧 | 引擎时钟 ms | α | rgb |
|---|---|---|---|
| 2330 | 39876 | 0 | ffffff |
| 2331 | 40063 | 47 | ffffff |
| 2332 | 40140 | 67 | ffffff |
| 2333 | 40257 | 97 | ffffff |
| 2334 | 40302 | 108 | ffffff |
| 2335 | 40362 | 123 | ffffff |
| 2336 | 40440 | 143 | ffffff |
| 2337 | 40533 | 167 | ffffff |
| 2338 | 40600 | 184 | ffffff |
| 2339 | 40675 | 203 | ffffff |
| 2340 | 40748 | 222 | ffffff |
| 2341 | 40822 | 241 | ffffff |
| 2342 | 40885 | 255 | ffffff |
| 2475 | 42618 | 229 | ffffff |
| 2478 | 42630 | 228 | ffffff |
| 2479 | 42639 | 227 | ffffff |
| 2480 | 42647 | 226 | ffffff |
| 2481 | 42655 | 225 | ffffff |
| 2482 | 42664 | 224 | ffffff |
| 2483 | 42682 | 221 | ffffff |
| 2484 | 42689 | 220 | ffffff |
| 2485 | 42697 | 219 | ffffff |
| 2486 | 42705 | 218 | ffffff |
| 2487 | 42714 | 217 | ffffff |
| 2488 | 42722 | 216 | ffffff |
| 2489 | 42730 | 215 | ffffff |
| 2490 | 42739 | 214 | ffffff |
| 2491 | 42747 | 213 | ffffff |
| 2492 | 42755 | 212 | ffffff |
| 2493 | 42764 | 211 | ffffff |
| 2494 | 42772 | 210 | ffffff |
| 2495 | 42780 | 209 | ffffff |
| 2496 | 42789 | 208 | ffffff |
| 2497 | 42797 | 207 | ffffff |
| 2498 | 42805 | 206 | ffffff |
| 2499 | 42814 | 204 | ffffff |
| 2500 | 42822 | 203 | ffffff |
| 2501 | 42830 | 202 | ffffff |
| 2502 | 42840 | 201 | ffffff |
| 2503 | 42847 | 200 | ffffff |
| 2504 | 42856 | 199 | ffffff |
| 2505 | 42864 | 198 | ffffff |
| 2506 | 42872 | 197 | ffffff |
| 2507 | 42881 | 196 | ffffff |
| 2508 | 42889 | 195 | ffffff |
| 2509 | 42897 | 194 | ffffff |
| 2510 | 42906 | 193 | ffffff |
| 2511 | 42914 | 192 | ffffff |
| 2512 | 42922 | 191 | fefefe |
| 2513 | 42931 | 190 | ffffff |
| 2514 | 42939 | 189 | ffffff |
| 2515 | 42948 | 187 | fefefe |
| 2516 | 42956 | 186 | ffffff |
| 2517 | 42964 | 185 | ffffff |
| 2518 | 42973 | 184 | ffffff |
| 2519 | 42981 | 183 | fefefe |
| 2520 | 42989 | 182 | ffffff |
| 2521 | 42997 | 181 | ffffff |
| 2522 | 43006 | 180 | fefefe |
| 2523 | 43014 | 179 | ffffff |
| 2524 | 43023 | 178 | ffffff |
| 2525 | 43031 | 177 | ffffff |
| 2526 | 43041 | 176 | ffffff |
| 2527 | 43048 | 175 | ffffff |
| 2528 | 43056 | 174 | ffffff |
| 2529 | 43064 | 173 | ffffff |
| 2530 | 43072 | 171 | ffffff |
| 2531 | 43081 | 170 | ffffff |
| 2532 | 43089 | 169 | ffffff |
| 2533 | 43098 | 168 | ffffff |
| 2534 | 43106 | 167 | ffffff |
| 2535 | 43114 | 166 | ffffff |
| 2536 | 43123 | 165 | ffffff |
| 2537 | 43131 | 164 | ffffff |
| 2538 | 43139 | 163 | ffffff |
| 2539 | 43148 | 162 | ffffff |
| 2540 | 43156 | 161 | ffffff |
| 2541 | 43164 | 160 | ffffff |
| 2542 | 43173 | 159 | ffffff |
| 2543 | 43181 | 158 | ffffff |
| 2544 | 43189 | 157 | ffffff |
| 2545 | 43198 | 156 | fefefe |
| 2546 | 43206 | 154 | ffffff |
| 2547 | 43214 | 153 | ffffff |
| 2548 | 43223 | 152 | ffffff |
| 2549 | 43231 | 151 | ffffff |
| 2550 | 43239 | 150 | fefefe |
| 2551 | 43248 | 149 | ffffff |
| 2552 | 43256 | 148 | ffffff |
| 2553 | 43264 | 147 | ffffff |
| 2554 | 43273 | 146 | ffffff |
| 2555 | 43281 | 145 | ffffff |
| 2556 | 43289 | 144 | ffffff |
| 2557 | 43298 | 143 | ffffff |
| 2558 | 43306 | 142 | fefefe |
| 2559 | 43314 | 141 | ffffff |
| 2560 | 43323 | 140 | ffffff |
| 2561 | 43331 | 138 | ffffff |
| 2562 | 43340 | 137 | ffffff |
| 2563 | 43348 | 136 | ffffff |
| 2564 | 43356 | 135 | ffffff |
| 2565 | 43365 | 134 | ffffff |
| 2566 | 43373 | 133 | ffffff |
| 2567 | 43381 | 132 | ffffff |
| 2568 | 43396 | 130 | ffffff |
| 2570 | 43407 | 129 | ffffff |
| 2571 | 43415 | 128 | ffffff |
| 2572 | 43423 | 127 | ffffff |
| 2573 | 43431 | 126 | ffffff |
| 2574 | 43440 | 125 | ffffff |
| 2575 | 43448 | 124 | ffffff |
| 2576 | 43457 | 123 | ffffff |
| 2577 | 43465 | 121 | ffffff |
| 2578 | 43473 | 120 | ffffff |
| 2579 | 43482 | 119 | ffffff |
| 2580 | 43495 | 118 | ffffff |
| 2581 | 43498 | 117 | ffffff |
| 2582 | 43507 | 116 | ffffff |
| 2583 | 43515 | 115 | ffffff |
| 2584 | 43523 | 114 | ffffff |
| 2585 | 43532 | 113 | ffffff |
| 2586 | 43540 | 112 | ffffff |
| 2587 | 43548 | 111 | ffffff |
| 2588 | 43557 | 110 | ffffff |
| 2589 | 43565 | 109 | ffffff |
| 2590 | 43573 | 108 | ffffff |
| 2591 | 43582 | 107 | ffffff |
| 2592 | 43590 | 106 | ffffff |
| 2593 | 43609 | 103 | ffffff |
| 2594 | 43615 | 102 | ffffff |
| 2595 | 43623 | 101 | ffffff |
| 2596 | 43632 | 100 | ffffff |
| 2597 | 43640 | 99 | ffffff |
| 2598 | 43648 | 98 | ffffff |
| 2599 | 43657 | 97 | ffffff |
| 2600 | 43665 | 96 | ffffff |
| 2601 | 43674 | 95 | ffffff |
| 2602 | 43683 | 94 | ffffff |
| 2603 | 43690 | 93 | ffffff |
| 2604 | 43699 | 92 | ffffff |
| 2605 | 43707 | 91 | ffffff |
| 2606 | 43715 | 90 | ffffff |
| 2607 | 43724 | 88 | ffffff |
| 2608 | 43749 | 85 | ffffff |
| 2609 | 43757 | 84 | ffffff |
| 2610 | 43765 | 83 | ffffff |
| 2611 | 43774 | 82 | ffffff |
| 2612 | 43782 | 81 | ffffff |
| 2613 | 43790 | 80 | ffffff |
| 2614 | 43799 | 79 | ffffff |
| 2615 | 43807 | 78 | ffffff |
| 2616 | 43815 | 77 | ffffff |
| 2617 | 43824 | 76 | ffffff |
| 2618 | 43832 | 75 | ffffff |
| 2619 | 43840 | 74 | ffffff |
| 2620 | 43849 | 72 | ffffff |
| 2621 | 43858 | 71 | ffffff |
| 2622 | 43866 | 70 | ffffff |
| 2623 | 43874 | 69 | ffffff |
| 2624 | 43882 | 68 | ffffff |
| 2625 | 43901 | 66 | ffffff |
| 2626 | 43907 | 65 | ffffff |
| 2627 | 43916 | 64 | ffffff |
| 2628 | 43925 | 63 | ffffff |
| 2629 | 43932 | 62 | ffffff |
| 2630 | 43941 | 61 | ffffff |
| 2631 | 43949 | 60 | ffffff |
| 2632 | 43957 | 59 | ffffff |
| 2633 | 43966 | 58 | ffffff |
| 2634 | 43974 | 57 | ffffff |
| 2635 | 43982 | 55 | ffffff |
| 2636 | 43991 | 54 | ffffff |
| 2637 | 43999 | 53 | ffffff |
| 2638 | 44007 | 52 | ffffff |
| 2639 | 44016 | 51 | ffffff |
| 2640 | 44024 | 50 | ffffff |
| 2641 | 44033 | 49 | ffffff |
| 2642 | 44041 | 48 | ffffff |
| 2643 | 44049 | 47 | ffffff |
| 2644 | 44058 | 46 | ffffff |
| 2645 | 44066 | 45 | ffffff |
| 2646 | 44074 | 44 | ffffff |
| 2647 | 44082 | 43 | ffffff |
| 2648 | 44091 | 42 | ffffff |
| 2649 | 44099 | 41 | ffffff |
| 2650 | 44125 | 37 | ffffff |
| 2651 | 44133 | 36 | ffffff |
| 2652 | 44141 | 35 | ffffff |
| 2653 | 44149 | 34 | ffffff |
| 2654 | 44158 | 33 | ffffff |
| 2655 | 44166 | 32 | ffffff |
| 2656 | 44174 | 31 | ffffff |
| 2657 | 44183 | 30 | ffffff |
| 2658 | 44203 | 27 | ffffff |
| 2660 | 44216 | 26 | ffffff |
| 2661 | 44224 | 25 | ffffff |
| 2662 | 44233 | 24 | ffffff |
| 2663 | 44241 | 22 | ffffff |
| 2664 | 44249 | 21 | ffffff |
| 2665 | 44258 | 20 | ffffff |
| 2666 | 44266 | 19 | ffffff |
| 2667 | 44274 | 18 | ffffff |
| 2668 | 44283 | 17 | ffffff |
| 2669 | 44291 | 16 | ffffff |
| 2670 | 44299 | 15 | ffffff |
| 2671 | 44308 | 14 | ffffff |
| 2672 | 44316 | 13 | ffffff |
| 2673 | 44325 | 12 | ffffff |
| 2674 | 44333 | 11 | ffffff |
| 2675 | 44341 | 10 | ffffff |
| 2676 | 44349 | 9 | ffffff |
| 2677 | 44358 | 8 | ffffff |
| 2678 | 44366 | 6 | ffffff |
| 2679 | 44375 | 5 | ffffff |
| 2680 | 44383 | 4 | ffffff |
| 2681 | 44391 | 3 | ffffff |
| 2682 | 44400 | 2 | ffffff |
| 2683 | 44408 | 1 | ffffff |
| 2684 | 44416 | 0 | ffffff |
| 3125 | 50484 | 0 | 000000 |
| 3127 | 50500 | 1 | 000000 |
| 3128 | 50509 | 2 | 000000 |
| 3130 | 50525 | 3 | 000000 |
| 3131 | 50534 | 4 | 000000 |
| 3133 | 50550 | 5 | 000000 |
| 3134 | 50559 | 6 | 000000 |
| 3135 | 50567 | 7 | 000000 |
| 3137 | 50584 | 8 | 000000 |
| 3138 | 50592 | 9 | 000000 |
| 3140 | 50609 | 10 | 000000 |
| 3141 | 50617 | 11 | 000000 |
| 3142 | 50626 | 12 | 000000 |
| 3144 | 50642 | 13 | 000000 |
| 3145 | 50651 | 14 | 000000 |
| 3147 | 50668 | 15 | 000000 |
| 3148 | 50676 | 16 | 000000 |
| 3149 | 50684 | 17 | 000000 |
| 3151 | 50701 | 18 | 000000 |
| 3152 | 50709 | 19 | 000000 |
| 3154 | 50726 | 20 | 000000 |
| 3155 | 50734 | 21 | 000000 |
| 3157 | 50751 | 22 | 000000 |
| 3158 | 50759 | 23 | 000000 |
| 3159 | 50768 | 24 | 000000 |
| 3161 | 50784 | 25 | 000000 |
| 3162 | 50793 | 26 | 000000 |
| 3164 | 50809 | 27 | 000000 |
| 3165 | 50818 | 28 | 000000 |
| 3166 | 50826 | 29 | 000000 |
| 3168 | 50843 | 30 | 000000 |
| 3169 | 50851 | 31 | 000000 |
| 3171 | 50868 | 32 | 000000 |
| 3172 | 50876 | 33 | 000000 |
| 3173 | 50885 | 34 | 000000 |
| 3175 | 50901 | 35 | 000000 |
| 3176 | 50909 | 36 | 000000 |
| 3178 | 50926 | 37 | 000000 |
| 3179 | 50934 | 38 | 000000 |
| 3180 | 50943 | 39 | 000000 |
| 3182 | 50959 | 40 | 000000 |
| 3183 | 50968 | 41 | 000000 |
| 3185 | 50985 | 42 | 000000 |
| 3186 | 50993 | 43 | 000000 |
| 3188 | 51010 | 44 | 000000 |
| 3189 | 51018 | 45 | 000000 |
| 3190 | 51026 | 46 | 000000 |
| 3192 | 51043 | 47 | 000000 |
| 3193 | 51051 | 48 | 000000 |
| 3195 | 51068 | 49 | 000000 |
| 3196 | 51076 | 50 | 000000 |
| 3197 | 51085 | 51 | 000000 |
| 3199 | 51101 | 52 | 000000 |
| 3200 | 51110 | 53 | 000000 |
| 3202 | 51127 | 54 | 000000 |
| 3203 | 51135 | 55 | 000000 |
| 3204 | 51143 | 56 | 000000 |
| 3206 | 51160 | 57 | 000000 |
| 3207 | 51168 | 58 | 000000 |
| 3209 | 51185 | 59 | 000000 |
| 3210 | 51193 | 60 | 000000 |
| 3211 | 51201 | 61 | 000000 |
| 3213 | 51218 | 62 | 000000 |
| 3214 | 51227 | 63 | 000000 |
| 3216 | 51243 | 64 | 000000 |
| 3217 | 51252 | 65 | 000000 |
