真源 = engine/天结_unpacked.exe_utf8.c（184092 行）；锚点 46 条

✅ rendering-26-fadefamily  [03-engine/rendering.md:26]  cites=14 raw=14
✅ rendering-30-movie-2000  [03-engine/rendering.md:30]  cites=2 raw=6
✅ rendering-31-bgm-fade  [03-engine/rendering.md:31]  cites=3 raw=3
✅ rendering-33-vertexcolor  [03-engine/rendering.md:33]  cites=3 raw=6
✅ rendering-35-gate-400  [03-engine/rendering.md:35]  cites=1 raw=5
✅ rendering-44-createmesh  [03-engine/rendering.md:44]  cites=4 raw=4
✅ rendering-51-blendselector  [03-engine/rendering.md:51]  cites=1 raw=4
✅ rendering-54-vertexcolor-clamp  [03-engine/rendering.md:54]  cites=1 raw=5
✅ rendering-58-calcdiffuse  [03-engine/rendering.md:58]  cites=5 raw=7
✅ rendering-69-clock  [03-engine/rendering.md:69]  cites=25 raw=27
✅ rendering-70-v39  [03-engine/rendering.md:70]  cites=6 raw=9
✅ rendering-78-merge  [03-engine/rendering.md:78]  cites=1 raw=1
✅ rendering-79-drawitem  [03-engine/rendering.md:79]  cites=6 raw=9
✅ rendering-80-i214  [03-engine/rendering.md:80]  cites=1 raw=4
✅ rendering-81-mesh  [03-engine/rendering.md:81]  cites=12 raw=8
✅ rendering-84-gate400-wait  [03-engine/rendering.md:84]  cites=10 raw=13
✅ rendering-93-clock-write  [03-engine/rendering.md:93]  cites=7 raw=8
✅ rendering-100-itemcolor-fields  [03-engine/rendering.md:100]  cites=8 raw=8
✅ rendering-101-itemcolor-eval  [03-engine/rendering.md:101]  cites=5 raw=5
✅ rendering-102-itemdraw  [03-engine/rendering.md:102]  cites=5 raw=5
✅ rendering-126-worldmatrix  [03-engine/rendering.md:126]  cites=1 raw=3
✅ rendering-160-blend-table  [03-engine/rendering.md:160]  cites=3 raw=10
✅ rendering-167-blend-write  [03-engine/rendering.md:167]  cites=2 raw=2
✅ rendering-168-scene-default  [03-engine/rendering.md:168]  cites=1 raw=2
✅ rendering-169-blend-deliver  [03-engine/rendering.md:169]  cites=2 raw=2
✅ rendering-172-scene-default-nogate  [03-engine/rendering.md:172]  cites=2 raw=4
✅ rendering-178-drawitem-noleak  [03-engine/rendering.md:178]  cites=1 raw=3
✅ rendering-179-mesh-leak  [03-engine/rendering.md:179]  cites=1 raw=3
✅ rendering-180-merge-block  [03-engine/rendering.md:180]  cites=1 raw=2
✅ rendering-189-sprite-object  [03-engine/rendering.md:189]  cites=1 raw=2
✅ rendering-190-sprite-begin  [03-engine/rendering.md:190]  cites=1 raw=2
✅ rendering-191-sprite-states  [03-engine/rendering.md:191]  cites=1 raw=4
✅ rendering-192-sprite-draw  [03-engine/rendering.md:192]  cites=2 raw=2
✅ rendering-193-sprite-end  [03-engine/rendering.md:193]  cites=1 raw=1
✅ rendering-197-mesh-quad  [03-engine/rendering.md:197]  cites=1 raw=1
✅ rendering-198-mesh-default-blend  [03-engine/rendering.md:198]  cites=7 raw=7
✅ app-copyright-15-label216  [04-app/emulator-copyright-effect.md:15]  cites=1 raw=1
✅ app-copyright-55-present-chain  [04-app/emulator-copyright-effect.md:55]  cites=5 raw=5
✅ app-copyright-58-mesh-anim  [04-app/emulator-copyright-effect.md:58]  cites=2 raw=4
✅ app-copyright-59-item-anim  [04-app/emulator-copyright-effect.md:59]  cites=3 raw=4
✅ app-copyright-63-flag-cascade  [04-app/emulator-copyright-effect.md:63]  cites=2 raw=3
✅ app-copyright-71-gate400  [04-app/emulator-copyright-effect.md:71]  cites=1 raw=1
✅ app-copyright-77-present-cond  [04-app/emulator-copyright-effect.md:77]  cites=1 raw=1
✅ app-copyright-135-322-flush  [04-app/emulator-copyright-effect.md:135]  cites=1 raw=3
✅ app-copyright-136-323-noflush  [04-app/emulator-copyright-effect.md:136]  cites=1 raw=3
✅ app-copyright-197-bit2  [04-app/emulator-copyright-effect.md:197]  cites=1 raw=2

小计：46 条锚点，❌ 0 处问题
[ok] 0 处与体不符
