说话人名称:说话人ID:日文原文（出现多次）,章节_1,当前翻译_1,章节_2,当前翻译_2,章节_3,当前翻译_3,章节_4,当前翻译_4,章节_5,当前翻译_5,章节_6,当前翻译_6,章节_7,当前翻译_7,章节_8,当前翻译_8,章节_9,当前翻译_9,章节_10,当前翻译_10,章节_11,当前翻译_11,章节_12,当前翻译_12,章节_13,当前翻译_13,章节_14,当前翻译_14,章节_15,当前翻译_15,章节_16,当前翻译_16,章节_17,当前翻译_17,章节_18,当前翻译_18,章节_19,当前翻译_19,章节_20,当前翻译_20,章节_21,当前翻译_21,章节_22,当前翻译_22,章节_23,当前翻译_23,章节_24,当前翻译_24,章节_25,当前翻译_25,章节_26,当前翻译_26,章节_27,当前翻译_27,章节_28,当前翻译_28,章节_29,当前翻译_29,章节_30,当前翻译_30,章节_31,当前翻译_31,章节_32,当前翻译_32,章节_33,当前翻译_33,章节_34,当前翻译_34,章节_35,当前翻译_35,章节_36,当前翻译_36,章节_37,当前翻译_37,章节_38,当前翻译_38,章节_39,当前翻译_39,章节_40,当前翻译_40,章节_41,当前翻译_41,章节_42,当前翻译_42,章节_43,当前翻译_43,章节_44,当前翻译_44,章节_45,当前翻译_45,章节_46,当前翻译_46,章节_47,当前翻译_47,章节_48,当前翻译_48,章节_49,当前翻译_49,章节_50,当前翻译_50,章节_51,当前翻译_51,章节_52,当前翻译_52,章节_53,当前翻译_53,章节_54,当前翻译_54,章节_55,当前翻译_55,章节_56,当前翻译_56,章节_57,当前翻译_57,章节_58,当前翻译_58,章节_59,当前翻译_59,章节_60,当前翻译_60,章节_61,当前翻译_61,章节_62,当前翻译_62,章节_63,当前翻译_63,章节_64,当前翻译_64,章节_65,当前翻译_65,章节_66,当前翻译_66,章节_67,当前翻译_67,章节_68,当前翻译_68,章节_69,当前翻译_69,章节_70,当前翻译_70,章节_71,当前翻译_71,章节_72,当前翻译_72,章节_73,当前翻译_73,章节_74,当前翻译_74,章节_75,当前翻译_75,章节_76,当前翻译_76,章节_77,当前翻译_77,章节_78,当前翻译_78,章节_79,当前翻译_79,章节_80,当前翻译_80
none:none:<ruby>機軸鎚<rt>きじくつい</rt></ruby>を使って<ruby>瓦礫<rt>がれき</rt></ruby>を取り除き、街の人を救出する。,SC6580,用机轴锤清除瓦砾，营救街上的人。,SC6580,用机轴锤清除瓦砾，营救街上的人。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:<ruby>天結<rt>あまゆ</rt></ruby>いキャッスルマイスターＳＡＭＰＬＥ,CONFIG,天结神缘ＳＡＭＰＬＥ,CONFIG1,天结神缘ＳＡＭＰＬＥ,CONFIG2,天结神缘ＳＡＭＰＬＥ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:<ruby>膣<rt>ちつ</rt></ruby>に侵入してすぐにあった薄い<ruby>膜<rt>まく</rt></ruby>も容易く突き破り、ぬめる壁をかき分けるように進めていく。,SP0131,侵入蜜穴后立刻遇到的那层薄薄的膜也被轻易捅破，我拨开湿滑的内壁继续深入。,SP0743,侵入蜜穴后立刻遇到的那层薄薄的膜也被轻易捅破，我拨开湿滑的内壁继续深入。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:あくまで目的地に辿り着くまでの間の見逃し期間だが、目立たないようにするってのは有り難いな。,SC0160,虽说只是抵达目的地之前的纵容期，但她愿意低调行事，这点倒是让人感激。,SC0160,虽说只是抵达目的地之前的纵容期，但她愿意低调行事，这点倒是让人感激。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:あとは代表と話を付け、この戦いの落とし所を決めるだけだ。,SC0190,接下来，只需与代表者谈妥，为这场战斗画上句点。,SC0190,接下来，只需与代表者谈妥，为这场战斗画上句点。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:あまりにも名前が似すぎている<ruby>現神<rt>うつつかみ</rt></ruby>と、そこから派生した国と宗教の歴史。,SC0160,现神之名与由此衍生的国家、宗教的历史，实在相似得过分了。,SC0160,现神之名与由此衍生的国家、宗教的历史，实在相似得过分了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:おそらくフィユシア教にはなにか秘密があるのだ。そして、それは『<ruby>神響<rt>しんきょう</rt></ruby>の<ruby>霞廊<rt>さんろ</rt></ruby>』に行くことが叶えば知ることができる。,SC0160,恐怕——菲优希亚教中隐藏着什么秘密。而只要能够抵达『神响霞廊』，便能知晓那秘密。,SC0160,恐怕——菲优希亚教中隐藏着什么秘密。而只要能够抵达『神响霞廊』，便能知晓那秘密。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:ガイダルは<ruby>矢継<rt>やつ</rt></ruby>ぎ<ruby>早<rt>ばや</rt></ruby>に飛び出す俺の質問に<ruby>流暢<rt>りゅうちょう</rt></ruby>な口調で答える。,SC0190,盖达鲁用流畅的口吻，接连回答着我抛出的连珠炮般的问题。,SC0190,盖达鲁用流畅的口吻，接连回答着我抛出的连珠炮般的问题。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:ガイダルはさらりと、聞き逃せない事情を話す。,SC0190,盖达鲁轻描淡写地说出了不容忽视的实情。,SC0190,盖达鲁轻描淡写地说出了不容忽视的实情。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:ガイダルはそっと背中を押して、カトリトを前へ出す。,SC0190,盖达鲁轻轻推了推她的背，把卡特利特带到前面。,SC0190,盖达鲁轻轻推了推她的背，把卡特利特带到前面。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:ガイダルは悲しげな表情を作り、カトリトに寄り添うように手を回す。,SC0190,盖达鲁摆出悲伤的表情，伸手揽住卡特利特，像是要依偎在她身边。,SC0190,盖达鲁摆出悲伤的表情，伸手揽住卡特利特，像是要依偎在她身边。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:グアラクーナ城砦の真実を知り、事態は悪い方向に向かってしまったが、それでも前へは進んだだろう。,SC0160,虽然得知古亚拉库娜城砦的真相后，事态朝着糟糕的方向发展，但即便如此，我们毕竟还是向前迈进了一步吧。,SC0160,虽然得知古亚拉库娜城砦的真相后，事态朝着糟糕的方向发展，但即便如此，我们毕竟还是向前迈进了一步吧。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:ここではフィアの衣装を変更できます。,$2$SC1830,在这里可以更换菲亚的服装。,$2$SC1830,在这里可以更换菲亚的服装。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:ここではミクシュアナの口調を変更できます。,$3$SC1840,在此可变更米克修亚娜的口调。,$3$SC1840,在此可变更米克修亚娜的口调。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:ここではユエラの衣装を変更できます。,$3$SC1840,在此可变更由艾拉的服装。,$3$SC1840,在此可变更由艾拉的服装。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:ここにお金を入れると扉が開くんだろう。,$3$SC0840,把钱投进去，门就会打开吧。,$3$SC0840,把钱投进去，门就会打开吧。,$3$SC0840,把钱投进去，门就会打开吧。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:これで竜族の問題が解決していくというのにどこか、<ruby>腑<rt>ふ</rt></ruby>に落ちない。,SC0190,明明这样下去，龙族的问题就要解决了……可总觉得，哪里不对劲。,SC0190,明明这样下去，龙族的问题就要解决了……可总觉得，哪里不对劲。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:そこさえ読み解いていけば“どういう経緯で城砦と一体化”したかが分かるはず。,SC0160,只要解开这一点，应该就能明白她‘是经由怎样的经过与城砦融为一体的’。,SC0160,只要解开这一点，应该就能明白她‘是经由怎样的经过与城砦融为一体的’。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:それどころではないほど、戦いが本格化してしまったからだ。だからこそ歩みを止めることはできない。,SC0190,因为战斗激烈到根本没余裕去问。正因如此，更不能停下脚步。,SC0190,因为战斗激烈到根本没余裕去问。正因如此，更不能停下脚步。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:それはミクシュアナが言っていた、城砦と同じ<ruby>禁忌<rt>きんき</rt></ruby>の兵器が過去には複数存在していたということにも掛かっているんだと思う。,SC0160,我想，这或许与米克修亚娜所说的话有关——过去曾存在多件与城砦相同的禁忌兵器。,SC0160,我想，这或许与米克修亚娜所说的话有关——过去曾存在多件与城砦相同的禁忌兵器。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:それは悲しみに<ruby>彩<rt>いろど</rt></ruby>られた声ではなく、<ruby>歓喜<rt>かんき</rt></ruby>に満ちた喜びの叫びだ。,SC0190,那不是染上悲伤的声音，而是充满欢喜的欢呼。,SC0190,那不是染上悲伤的声音，而是充满欢喜的欢呼。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:それをお前の口から語られると、より<ruby>胡散<rt>うさん</rt></ruby>臭さが増すんだけどな。,SC0190,这番话从你嘴里说出来，反而更显得可疑了呢。,SC0190,这番话从你嘴里说出来，反而更显得可疑了呢。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
