说话人名称:说话人ID:日文原文（出现多次）,章节_1,当前翻译_1,章节_2,当前翻译_2,章节_3,当前翻译_3,章节_4,当前翻译_4,章节_5,当前翻译_5,章节_6,当前翻译_6,章节_7,当前翻译_7,章节_8,当前翻译_8,章节_9,当前翻译_9,章节_10,当前翻译_10,章节_11,当前翻译_11,章节_12,当前翻译_12,章节_13,当前翻译_13,章节_14,当前翻译_14,章节_15,当前翻译_15,章节_16,当前翻译_16,章节_17,当前翻译_17,章节_18,当前翻译_18,章节_19,当前翻译_19,章节_20,当前翻译_20,章节_21,当前翻译_21,章节_22,当前翻译_22,章节_23,当前翻译_23,章节_24,当前翻译_24,章节_25,当前翻译_25,章节_26,当前翻译_26,章节_27,当前翻译_27,章节_28,当前翻译_28,章节_29,当前翻译_29,章节_30,当前翻译_30,章节_31,当前翻译_31,章节_32,当前翻译_32,章节_33,当前翻译_33,章节_34,当前翻译_34,章节_35,当前翻译_35,章节_36,当前翻译_36,章节_37,当前翻译_37,章节_38,当前翻译_38,章节_39,当前翻译_39,章节_40,当前翻译_40,章节_41,当前翻译_41,章节_42,当前翻译_42,章节_43,当前翻译_43,章节_44,当前翻译_44,章节_45,当前翻译_45,章节_46,当前翻译_46,章节_47,当前翻译_47,章节_48,当前翻译_48,章节_49,当前翻译_49,章节_50,当前翻译_50,章节_51,当前翻译_51,章节_52,当前翻译_52,章节_53,当前翻译_53,章节_54,当前翻译_54,章节_55,当前翻译_55,章节_56,当前翻译_56,章节_57,当前翻译_57,章节_58,当前翻译_58,章节_59,当前翻译_59,章节_60,当前翻译_60,章节_61,当前翻译_61,章节_62,当前翻译_62,章节_63,当前翻译_63,章节_64,当前翻译_64,章节_65,当前翻译_65,章节_66,当前翻译_66,章节_67,当前翻译_67,章节_68,当前翻译_68,章节_69,当前翻译_69,章节_70,当前翻译_70,章节_71,当前翻译_71,章节_72,当前翻译_72,章节_73,当前翻译_73,章节_74,当前翻译_74,章节_75,当前翻译_75,章节_76,当前翻译_76,章节_77,当前翻译_77,章节_78,当前翻译_78,章节_79,当前翻译_79,章节_80,当前翻译_80
none:none:<ruby>召喚<rt>しょうかん</rt></ruby>ユニットの出撃は<ruby>召喚者<rt>フィア</rt></ruby>の隣接マスで自軍の<ruby>占有地<rt>せんゆうち</rt></ruby>の場合のみ出撃させることが可能です。,SG5770,召唤单位的出击，只有在<ruby>召唤者<rt>菲亚</rt></ruby>的相邻格、且为我军占领地时才可出击。,SG5778,召唤单位的出击，只有在<ruby>召唤者<rt>菲亚</rt></ruby>的相邻格、且为我军占领地时才可出击。,SG5800,单位只能在<ruby>召唤者<rt>菲亚</rt></ruby>的相邻格上<br>且为自军占有地时才能出击。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:あまりにも用意周到だったので、<ruby>呆気<rt>あっけ</rt></ruby>にとられてしまう。,SC0280,他准备得太过周全，令我目瞪口呆。,SC0770,实在是准备得太周全了，让人一时目瞪口呆。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:ガイダルに城砦を奪われ、外に持ち出す時間などなかったはずなのに。,SC0280,明明城砦被盖达鲁夺走，应该没有时间把它运出来才对。,SC0770,明明城砦被盖达鲁夺走，应该连把它带出来的时间都没有才对。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:これからの方針をまとめようと主要の面子が集まった。,SC2180,为了汇总今后的方针，主要成员齐聚一堂。,SC2190,为了汇总今后的方针，主要成员们聚集到了一起。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:だが奥さんと子供は無事に避難できていたようだ。状況が悪くなる一方の中、少しほっとできた。,SC0280,不过，迪特的妻子和孩子似乎已平安避难。在情况不断恶化之中，这让我稍稍松了口气。,SC0770,但师母和孩子似乎都平安疏散出来了。在局势愈发糟糕的情况下，总算稍稍松了口气。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:どうやら納得してくれたようだ。,SC0100,看来她总算接受了。,SC0100,看来他总算接受了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:ぶっきらぼうな態度だが、気遣いを感じるやり取りだった。俺は無理やりに笑顔を浮かべながら言葉を返す。,SC0280,他虽然态度生硬，言语间却透着关怀。我强挤出一丝笑容回应。,SC0770,态度虽然生硬，话语间却透着关怀。我勉强挤出笑容，回应了几句。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:今はそれでいい。これからは集落の人たちが元気を取り戻せるよう行動しよう。,SC5860,现在这样就够了。接下来，就为了让村落的人们能重拾活力而行动吧。,SC6660,现在这样就够了。接下来，就为了村子的人们能重新振作起来而行动吧。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:万が一の可能性を考え、俺たちの一番の『武器』である工房作業が失われないよう、避難させていたということか。,SC0280,原来他是考虑到万一的可能，为了不让我们最大的『武器』——工房作业能力白白丧失，才让这一切先行避难的吗。,SC0770,原来如此，是为了防那万一的可能，才把我们最强的『武器』——工房作业保留下来，将人员疏散出来的啊。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:目の前に、なぜかとても見覚えのある馬車があった。,SC0280,眼前停着一辆马车，不知为何总觉得非常眼熟。,SC0770,眼前停着一辆马车，不知为何，看起来非常眼熟。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
